employee_id,fullname,nip,years_of_service_months,company,area,position,department,division,directorate,grade,education,major,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
EMP100000,Rendra Pratama,806137.0,64,PT Aurora Beauty Indonesia,Store,Brand Executive,R&D,Product Dev,Technology,IV,S2,Business,86.0,75.0,SI,steadiness-influencer,Unknown,94.0,33.0,2
EMP100001,Wulan Setiawan,476388.0,16,PT Mandala Distribution Center,Store,HRBP,Operations,Talent Management,Technology,III,D3,Design,48.0,52.0,DS,dominant-steadiness,INTP,94.0,17.0,3
EMP100002,Julia Jatmiko Situmorang,941921.0,58,PT Aurora Beauty Indonesia,Plant,Sales Supervisor,Finance,Digital Marketing,Technology,III,S2,Business,66.0,38.0,DC,dominant-conscientious,Unknown,109.0,20.0,3
EMP100003,Oka Halim,751615.0,15,PT Aurora Beauty Indonesia,Plant,HRBP,HR,Digital Marketing,Commercial,IV,S1,Psychology,39.0,63.0,SI,steadiness-influencer,ENTJ,85.0,39.0,3
EMP100004,Dwi Pratama,443809.0,34,PT Lumo Cosmetics Asia,Store,Supply Planner,Operations,Product Dev,Technology,III,D3,Psychology,75.0,100.0,SC,steadiness-conscientious,INTJ,134.0,21.0,9
EMP100005,Bayu Zulfikar,590302.0,66,PT Aurora Beauty Indonesia,Distribution,Sales Supervisor,HR,Product Dev,Commercial,III,S2,Business,69.0,35.0,DC,dominant-conscientious,Unknown,130.0,21.0,7
EMP100006,Indra Santoso,826406.0,82,PT Aurora Beauty Indonesia,Plant,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,III,D3,Engineering,94.0,24.0,SC,steadiness-conscientious,ESFP,139.0,27.0,6
EMP100007,Rani Mahendra,878510.0,56,PT Mandala Distribution Center,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,S1,Business,65.0,45.0,DS,dominant-steadiness,ESFJ,99.0,17.0,4
EMP100008,Gita Permadi,189647.0,40,PT VASKA Wellness,Store,Finance Officer,Finance,Talent Management,Commercial,III,SMA,Business,47.0,97.0,ID,influencer-dominant,INFP,137.0,23.0,1
EMP100009,Julia Anggara,931718.0,77,PT Aurora Beauty Indonesia,HQ,Sales Supervisor,R&D,Sales,Commercial,V,S2,Design,21.0,84.0,DS,dominant-steadiness,ISFP,82.0,29.0,4
EMP100010,Maya Jatmiko Handayani,967930.0,29,PT VASKA Wellness,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,D3,Engineering,43.0,61.0,CI,conscientious-influencer,ESTJ,84.0,42.0,2
EMP100011,Fajar Halim,617452.0,51,PT Mandala Distribution Center,Distribution,Finance Officer,Operations,Operations,Technology,V,S1,Business,45.0,31.0,DI,dominant-influencer,ENFP,125.0,31.0,10
EMP100012,Rendra Tri Purnama,457211.0,3,PT Aurora Beauty Indonesia,HQ,Data Analyst,IT,Operations,Commercial,IV,SMA,Statistics,20.0,70.0,DS,dominant-steadiness,ISFJ,108.0,43.0,10
EMP100013,Maya Mahendra,656829.0,3,PT Mandala Distribution Center,Store,Supply Planner,HR,Digital Marketing,HR & Corp Affairs,V,D3,Engineering,88.0,32.0,IC,influencer-conscientious,ENTP,124.0,33.0,9
EMP100014,Wahyu Indrawan,503585.0,65,PT Lumo Cosmetics Asia,Plant,Supply Planner,Finance,Product Dev,Commercial,IV,SMA,Design,92.0,54.0,SI,steadiness-influencer,ISTJ,92.0,24.0,7
EMP100015,Zahra Utama Setiawan,155133.0,28,PT Mandala Distribution Center,HQ,Finance Officer,Marketing,Talent Management,HR & Corp Affairs,V,S1,Business,65.0,77.0,DC,dominant-conscientious,ENFP,109.51351351351352,27.464839094159714,7
EMP100016,Dinda Pramudita Ginting,658786.0,39,PT Aurora Beauty Indonesia,Store,Supply Planner,R&D,Talent Management,HR & Corp Affairs,IV,D3,Economics,83.0,93.0,SI,steadiness-influencer,ISTP,97.0,34.0,5
EMP100017,Fajar Mahendra,583676.0,95,PT VASKA Wellness,Distribution,HRBP,IT,Digital Marketing,HR & Corp Affairs,V,S1,Design,55.0,80.0,CS,conscientious-steadiness,ENTJ,107.0,31.0,1
EMP100018,Arif Ginting,588205.0,53,PT Mandala Distribution Center,Plant,Sales Supervisor,IT,Talent Management,Technology,IV,D3,Statistics,66.0,69.0,SC,steadiness-conscientious,ESFJ,109.51351351351352,28.0,3
EMP100019,Rizki Iqbal Gunawan,341900.0,27,PT Lumo Cosmetics Asia,Store,HRBP,HR,Digital Marketing,HR & Corp Affairs,III,S2,Statistics,28.0,72.0,CD,conscientious-dominant,ISTP,125.0,23.0,10
